ServiceProviderID,Name,Street,City,State,PostalCode,ContactPersonFirstName,ContactPersonLastName,ContactPhone,ContactEmail,RegistrationNo
1001,Health Services Co.,123 Health St,Health City,NSW,2000,Alice,Brown,123-456-7890,alice@healthservices.com,HSC123
1002,Community Support Ltd.,456 Support St,Service Town,VIC,3000,Bob,White,987-654-3210,bob@communitysupport.com,CSL987
1003,Wellness Care,789 Wellness Ave,Care City,QLD,4000,Carol,Johnson,159-753-8520,carol@wellnesscare.com,WC456
1004,Life Support Services,321 Life Rd,Life Town,WA,6000,David,Adams,951-357-8520,david@lifesupport.com,LSS789
1005,Helping Hands,102 Helping Blvd,Helping Town,SA,5000,Eva,Green,357-159-9510,eva@helpinghands.com,HH123
1006,Hopeful Hearts,456 Hope St,Hope City,ACT,2600,Frank,Black,753-159-3570,frank@hopefulhearts.com,HHH321
1007,Careful Minds,789 Mind Rd,Mind Town,NT,0800,George,Blue,147-258-3690,george@carefulminds.com,CM987
1008,Guiding Light,101 Guiding St,Guiding Town,TAS,7000,Hannah,White,258-369-1470,hannah@guidinglight.com,GL852
1009,Strong Will,654 Will St,Will City,NSW,2001,Ian,Yellow,369-147-2580,ian@strongwill.com,SW654
1010,Brave Souls,789 Brave Ave,Brave Town,VIC,3001,Jack,Orange,741-963-8520,jack@bravesouls.com,BS951
